Nombre y Apellido,Educación,Tipo de cuenta bancaria,Situación Laboral,Inicio de cuenta,Cantidad ahorrado,Créditos
Adelardo Izaguirre-Carlos,Incompleto,Vista,Cesante,2020-12-09,10258744.154361518,2
Eloísa Salom Medina,Incompleto,Ahorro,Cesante,2020-08-18,556221.670218055,2
Alfonso Carlos,Medio,Vista,Independiente,2022-06-04,9642007.4020486,4
Olga Patiño Cepeda,Universitario,Ahorro,Dependiente,2020-11-04,10168543.137237405,3
Elisa Salmerón-Correa,Medio,Ahorro,Independiente,2021-10-05,13501579.83761137,3
Rufina Santos Oliveras,Medio,Corriente,Cesante,2024-07-21,10076708.122699182,3
Mireia Clarisa Segarra Gimeno,Universitario,Ahorro,Cesante,2020-04-17,9214518.592053605,3
Ainara del Barriga,Incompleto,Vista,Independiente,2021-06-17,250097.46637801756,3
Eligio de Alonso,Incompleto,Vista,Independiente,2024-08-05,12566709.791028613,3
Morena Lluch Serra,Medio,Ahorro,Dependiente,2022-10-17,13543485.61261579,3
Alonso Arsenio Campillo Quintanilla,Universitario,Vista,Dependiente,2022-03-28,2744831.3588718837,4
Nico Aparicio Montserrat,Incompleto,Corriente,Dependiente,2022-08-01,9284886.380003804,1
Iker Cazorla Boada,Incompleto,Ahorro,Independiente,2022-06-06,7143283.373930713,3
Vanesa Casares Bou,Universitario,Vista,Cesante,2020-01-21,5954270.863154063,4
Valeria Gargallo Cervantes,Incompleto,Ahorro,Cesante,2024-03-30,9679003.53916582,4
Albina Fuente Pla,Medio,Ahorro,Cesante,2023-10-27,1272623.4666647185,1
Marina Vélez Bárcena,Medio,Vista,Independiente,2022-08-16,11339519.778654587,1
Roberto González Verdejo,Universitario,Corriente,Dependiente,2021-02-04,704149.5730328384,4
Pía Gibert Caparrós,Universitario,Ahorro,Independiente,2023-05-08,5599928.385738084,4
Jacobo Porras Alcalá,Incompleto,Corriente,Independiente,2020-03-11,7225504.117644972,2
Clara Maza Rodríguez,Universitario,Ahorro,Independiente,2024-01-10,11670798.791948503,2
Epifanio Hernando Donoso,Medio,Vista,Cesante,2024-07-02,11634584.09086069,4
Mamen Tolosa Palma,Medio,Corriente,Independiente,2020-05-15,12407042.672545487,2
Flavia Romero Casanova,Medio,Ahorro,Independiente,2023-08-30,1757060.7666947357,1
Hilda Lago Otero,Incompleto,Ahorro,Independiente,2021-03-07,12426118.7398871,1
Amaya Sales Yuste,Incompleto,Vista,Dependiente,2024-03-21,5795367.414348457,4
Aristides Solsona Martínez,Incompleto,Ahorro,Independiente,2020-12-18,3395472.584967553,3
Santiago Cases Agudo,Medio,Vista,Dependiente,2022-12-11,10521.123304211289,1
Isidoro del Pinto,Universitario,Vista,Cesante,2020-06-11,13395403.286663977,3
Alondra Gomis Padilla,Medio,Corriente,Dependiente,2020-04-23,8757819.863264468,1
Joel Lluch Santana,Incompleto,Vista,Dependiente,2021-05-20,8165570.9696935285,3
Zacarías Navas,Universitario,Vista,Independiente,2020-01-01,2113071.5968699898,4
Ruben Blanco Benitez,Universitario,Ahorro,Dependiente,2024-06-27,4239018.5938766375,2
Salomé del Calatayud,Universitario,Ahorro,Cesante,2024-08-11,9469249.22009574,3
María Fernanda Corral Cuervo,Universitario,Ahorro,Dependiente,2024-03-28,14851709.33148255,3
Néstor Aroca Naranjo,Incompleto,Corriente,Dependiente,2023-06-25,12097294.50162533,1
Manuelita Rocamora-Ochoa,Universitario,Corriente,Cesante,2020-05-24,8330096.6972916555,3
Anastasio Belda Rodrigo,Universitario,Vista,Independiente,2021-09-16,6317104.947907038,1
Obdulia Escamilla Vall,Medio,Vista,Independiente,2024-11-11,13965811.543339975,3
Marco Pozo-Pombo,Universitario,Corriente,Independiente,2023-11-04,14769652.223781977,2
Andrea Medina,Incompleto,Corriente,Cesante,2021-03-15,12200617.220869742,4
Alondra Posada,Medio,Vista,Independiente,2023-11-14,1042803.3816857318,2
Marc Lillo Marqués,Universitario,Corriente,Dependiente,2024-05-09,3086808.928402696,3
Bernabé Cámara Escamilla,Incompleto,Ahorro,Dependiente,2022-10-24,3223038.372770013,4
Cruz Lucena Tur,Universitario,Vista,Independiente,2024-05-24,9042849.714524737,3
Feliciana Clarisa Pol Casals,Incompleto,Ahorro,Dependiente,2020-05-02,6237710.665735092,4
Ana de Fortuny,Universitario,Corriente,Dependiente,2024-07-20,2638936.5403559743,1
Vicente Calatayud Dávila,Medio,Ahorro,Cesante,2024-03-06,8310092.456537443,3
Teobaldo Asensio Sans,Universitario,Vista,Independiente,2020-12-12,12776324.946592305,4
Vicente del Torrijos,Incompleto,Vista,Dependiente,2022-06-29,10630623.446278976,2
Gracia Pérez Vallejo,Incompleto,Ahorro,Cesante,2023-06-15,6275889.408919052,3
Amparo Ferrán,Incompleto,Vista,Cesante,2022-02-08,5585570.124970617,2
Ainoa de Sanz,Incompleto,Ahorro,Dependiente,2021-05-12,13037291.166682417,1
Duilio Capdevila,Universitario,Ahorro,Cesante,2024-08-02,9259089.608085405,4
Blanca Sanjuan Coloma,Universitario,Corriente,Cesante,2021-06-17,3871534.771660291,2
Leocadio Castell-Menéndez,Medio,Ahorro,Independiente,2021-03-05,3935262.089737154,4
Maite Gomila Águila,Medio,Corriente,Dependiente,2022-01-06,7315195.465306619,1
María Teresa Campos Giménez,Universitario,Ahorro,Independiente,2021-08-28,126802.51791707287,4
Adelardo Aranda Fabra,Medio,Vista,Independiente,2022-08-30,8513804.973890787,3
Angelino Alcolea-Pastor,Medio,Corriente,Dependiente,2020-12-20,14765237.788318418,3
María Ángeles Tovar Martínez,Medio,Ahorro,Cesante,2022-04-13,10593581.286010005,3
Pedro del Linares,Universitario,Ahorro,Dependiente,2021-07-15,12451765.656098353,3
Nerea Carpio Páez,Incompleto,Ahorro,Dependiente,2019-12-12,12427015.409377959,4
Isabel Mateos Río,Universitario,Ahorro,Independiente,2023-07-14,4730907.71688157,2
Calixto Franco-Feliu,Universitario,Vista,Independiente,2024-10-20,4958166.595593615,4
Juan Luis Jara Guijarro,Medio,Ahorro,Dependiente,2023-03-15,6341643.503072406,4
Delfina Arana Somoza,Incompleto,Ahorro,Dependiente,2020-02-05,4263239.731281383,3
Tomasa Comas,Medio,Corriente,Dependiente,2021-02-11,293833.6461445351,4
Juan del Mesa,Medio,Vista,Cesante,2024-10-17,14918207.411997264,2
Galo Torrijos,Incompleto,Vista,Cesante,2021-05-16,5035277.55148906,2
Tomasa Paloma Casals Camino,Incompleto,Ahorro,Cesante,2021-09-03,13954952.133307736,4
Aroa Camacho Quesada,Medio,Corriente,Independiente,2020-12-26,11934722.763848064,1
Emma Valls Escalona,Incompleto,Ahorro,Independiente,2020-04-14,5947836.492003312,4
Fátima del Méndez,Universitario,Corriente,Independiente,2020-05-13,5566990.500412527,3
Mariano Barrio Morillo,Incompleto,Corriente,Dependiente,2023-07-06,11794516.303920608,4
Néstor Montalbán-Falcó,Medio,Vista,Independiente,2023-08-02,8612278.104165621,4
Nayara Roig-Bayona,Universitario,Corriente,Cesante,2023-04-07,6950468.886218778,2
Germán Sebastián Lopez,Incompleto,Ahorro,Dependiente,2022-05-02,13233938.897501275,4
Claudia Sacristán Verdugo,Medio,Ahorro,Independiente,2020-10-24,4499769.784809069,4
Félix Fuentes Briones,Incompleto,Corriente,Dependiente,2024-02-17,12764417.946050057,4
Yago Eloy Serna Cáceres,Medio,Ahorro,Cesante,2023-05-02,6471924.224938341,1
Yéssica Carrera Nebot,Medio,Ahorro,Dependiente,2024-02-26,9992484.421764877,1
Jimena Vallés,Incompleto,Vista,Independiente,2020-12-16,8484087.06199208,2
Chita Asenjo Alcalá,Universitario,Corriente,Independiente,2023-03-03,1358501.7128769755,2
Martín Malo Álvaro,Universitario,Ahorro,Independiente,2021-03-12,5861377.518784889,1
Luisina Díez Campillo,Medio,Vista,Cesante,2024-08-24,8232011.360081245,2
Ester Huerta,Universitario,Vista,Cesante,2020-05-11,10777162.354604619,4
Álvaro Ayuso,Medio,Ahorro,Cesante,2022-04-30,6935862.984542572,4
Azahara Criado Marquez,Universitario,Ahorro,Independiente,2021-12-27,11282909.988568626,3
Hugo Folch Bastida,Medio,Vista,Dependiente,2020-07-11,10494871.67253227,3
Leticia Maura Aroca Carbó,Incompleto,Vista,Independiente,2022-10-12,3502256.2301468425,2
Guiomar Castañeda Cervantes,Universitario,Vista,Dependiente,2022-06-14,385401.549135112,4
Angelina Sainz Reig,Incompleto,Ahorro,Cesante,2024-08-20,2364339.6182256383,4
Narciso Marco Pacheco,Incompleto,Corriente,Dependiente,2020-12-14,6953908.717110151,3
Alondra Brunilda Casado Torralba,Incompleto,Corriente,Independiente,2023-01-08,1285580.183601725,4
Benigno Sans Terrón,Medio,Corriente,Independiente,2020-11-28,14156918.506400902,3
José Manuel Milla Cózar,Incompleto,Corriente,Cesante,2022-03-25,11809441.477850368,2
Feliciano Aramburu-Domingo,Incompleto,Ahorro,Independiente,2023-06-12,13590992.166226475,1
Alcides Torre Uribe,Universitario,Ahorro,Dependiente,2023-06-18,7729474.072438157,1
Pedro Quero-Lloret,Universitario,Ahorro,Dependiente,2023-02-11,8314067.834125712,2
Andrés Felipe del Casanova,Incompleto,Corriente,Dependiente,2022-09-14,7687403.113240246,3
Erasmo Terrón Padilla,Incompleto,Ahorro,Independiente,2020-01-24,11428368.489320401,4
Yaiza Plaza,Universitario,Vista,Dependiente,2023-12-08,12938400.742029069,1
María Belén Ferrera,Incompleto,Corriente,Cesante,2020-06-16,4482961.38151578,1
Lupe Patiño-Pereira,Incompleto,Corriente,Independiente,2022-10-01,6906970.622422584,2
Geraldo Cámara Alberola,Universitario,Ahorro,Cesante,2022-08-10,1372764.953283973,1
Encarnita Cuenca Bosch,Medio,Corriente,Independiente,2022-04-19,14865695.6565621,2
Vanesa de Andrés,Incompleto,Corriente,Cesante,2024-06-07,3848448.3681182642,2
Fabián Fernández Duran,Universitario,Corriente,Independiente,2020-05-14,8312734.574511579,2
Flora Aragonés Caballero,Medio,Ahorro,Dependiente,2021-05-12,12063566.280218491,4
Imelda del Zapata,Incompleto,Vista,Independiente,2024-07-16,8125149.588489646,1
Máximo Gomis Bou,Incompleto,Vista,Independiente,2023-03-10,5453655.045414361,3
Wilfredo Ramón Botella Chaparro,Universitario,Ahorro,Independiente,2022-09-19,7168163.544183497,3
Amaya Franco Girón,Universitario,Vista,Cesante,2021-08-06,10579856.23528102,3
Bartolomé Castejón,Universitario,Corriente,Independiente,2024-01-08,3114422.269325343,4
Tito Casanova Barral,Incompleto,Corriente,Independiente,2023-03-31,3097570.484050673,4
María José Zabaleta-Larrañaga,Incompleto,Vista,Dependiente,2024-06-12,1211844.5155323038,3
Encarnación Aurora Martín Esteve,Medio,Corriente,Dependiente,2021-06-02,691208.730660951,3
Leoncio Ferrer,Medio,Corriente,Cesante,2020-08-30,8486201.13336765,4
Remigio de Galindo,Incompleto,Corriente,Cesante,2023-02-01,11386653.410552908,3
Abigaíl Rosa Jover,Medio,Ahorro,Cesante,2021-01-30,827400.8296312402,4
Jordi de Hernandez,Incompleto,Corriente,Independiente,2021-10-10,4892993.654056913,4
Jose Luis Ramón Solís,Universitario,Vista,Independiente,2024-08-23,12345843.295371529,4
Odalis del Barrios,Medio,Corriente,Dependiente,2022-05-29,13932148.377485989,1
Chita Sanmartín Bustamante,Medio,Ahorro,Independiente,2022-08-01,11382429.057154702,3
Obdulia Gálvez Corominas,Incompleto,Corriente,Dependiente,2024-07-28,10067357.759453785,1
Quique Martorell-Barberá,Incompleto,Corriente,Independiente,2020-07-24,7853642.764614275,4
Pánfilo Carpio Ropero,Medio,Vista,Cesante,2022-05-09,3813493.631419637,4
Íngrid Abad Estévez,Incompleto,Ahorro,Independiente,2021-05-16,11175638.286502006,3
Apolinar Canet Feijoo,Incompleto,Vista,Independiente,2024-07-10,5946634.265876618,4
Calisto Alcántara Saavedra,Universitario,Vista,Independiente,2024-07-06,7118678.760780063,4
Trinidad Pavón Abad,Medio,Corriente,Dependiente,2021-12-16,6188258.232838132,1
Nazaret Castelló Vilanova,Medio,Ahorro,Dependiente,2022-04-06,12395595.564439222,3
Ester Cuesta Bautista,Medio,Ahorro,Independiente,2019-12-20,3120344.145834406,3
Víctor Palomar Blasco,Medio,Ahorro,Cesante,2023-02-03,10711389.134211175,2
Maximiliano Murcia Álvarez,Universitario,Ahorro,Independiente,2021-01-16,9054838.570977647,4
Eladio María Jerez Marí,Universitario,Corriente,Dependiente,2019-12-18,12715051.445394134,1
Tere Frutos Mariscal,Universitario,Corriente,Dependiente,2021-04-21,7827498.258319587,4
Cecilio Tejera Sanmiguel,Incompleto,Vista,Cesante,2022-01-01,13716162.80942469,1
Constanza Clemente Posada,Incompleto,Corriente,Dependiente,2022-02-07,687946.7188457323,1
Marcio Ródenas Garay,Incompleto,Corriente,Cesante,2022-01-27,4867798.385468222,4
Alonso Adán Puig Rocamora,Incompleto,Vista,Independiente,2023-07-11,13782286.232414076,3
Bernardo Gimenez-Carrasco,Universitario,Ahorro,Dependiente,2023-08-07,11305806.425801154,3
Elisabet Barrios-Landa,Medio,Corriente,Cesante,2024-11-20,4432662.238336715,4
Severino Mir,Medio,Vista,Cesante,2023-05-15,9659140.074075324,3
Calixto de Farré,Universitario,Ahorro,Dependiente,2023-12-21,5113409.727893736,2
Angelita del Luís,Medio,Vista,Cesante,2023-02-14,10012734.458871832,1
Anacleto Ribes Verdugo,Incompleto,Ahorro,Independiente,2020-02-15,4750161.538618098,2
María Luisa Exposito,Incompleto,Corriente,Cesante,2021-11-04,207247.14334518946,4
Alejo Carrera Cuevas,Medio,Ahorro,Dependiente,2023-05-24,5321920.28558662,2
Lidia Arteaga Gutiérrez,Universitario,Ahorro,Cesante,2024-04-08,8879369.839902971,2
Heraclio de Sola,Incompleto,Corriente,Independiente,2023-04-01,10759418.50006353,1
Manuela Collado-Navarrete,Medio,Corriente,Cesante,2023-06-30,8075551.588894563,1
Ana Aramburu-Carbonell,Universitario,Vista,Cesante,2024-02-28,11468547.01315461,4
Fabiola Moraleda Novoa,Medio,Ahorro,Dependiente,2020-08-22,9385094.2548128,1
Celso Fajardo-Córdoba,Incompleto,Ahorro,Dependiente,2022-06-06,12388231.674323482,2
Teobaldo Corral-Cámara,Medio,Vista,Dependiente,2024-04-06,7049486.332506063,1
René Morcillo Tormo,Medio,Vista,Independiente,2022-02-07,14334050.332608303,3
Severo Victor Perera Fabregat,Medio,Ahorro,Dependiente,2022-05-31,8258006.237012375,1
Sigfrido Acevedo Roca,Medio,Ahorro,Dependiente,2023-07-16,12573836.6415378,3
María Amador,Incompleto,Corriente,Cesante,2021-03-30,10340593.030183583,2
Leandra Alcalde-Torrents,Medio,Vista,Independiente,2021-07-04,1952181.575961866,1
Mauricio Trujillo,Universitario,Ahorro,Dependiente,2022-09-05,7654305.929321708,1
Manuelita Genoveva Bru Estevez,Incompleto,Vista,Dependiente,2022-03-23,10467768.817525953,4
José Antonio Falcó Serra,Universitario,Vista,Independiente,2024-07-08,2673061.7479805476,1
Ruth Arnal Lago,Universitario,Corriente,Cesante,2022-03-22,5446516.254394398,2
Bernabé Casanova Mariscal,Universitario,Corriente,Cesante,2023-06-21,11980159.565569036,1
Benigna Ana Belén Bejarano Rodriguez,Incompleto,Ahorro,Cesante,2023-10-02,14770678.239007883,2
Visitación Santana Girón,Incompleto,Corriente,Independiente,2021-10-04,13521484.625910722,1
Georgina Rozas Galvez,Incompleto,Corriente,Dependiente,2024-11-02,8971995.991186857,2
Natanael Portillo Olivera,Incompleto,Ahorro,Independiente,2020-03-26,12508008.702655066,1
Lupe Amo Vidal,Incompleto,Corriente,Independiente,2022-08-15,4892902.108377324,4
Ciríaco Esteban Baró Borja,Universitario,Vista,Cesante,2022-10-03,404921.5266858486,4
Pastora de Juliá,Medio,Vista,Dependiente,2022-01-29,8244277.725759133,4
Flor Zaragoza Quintanilla,Incompleto,Ahorro,Independiente,2023-03-28,7226776.505348194,3
Nazario Peñalver Aliaga,Medio,Vista,Independiente,2024-03-30,3530921.535380464,4
Josué Ramírez-Nicolás,Universitario,Corriente,Dependiente,2024-04-02,12113447.970221434,2
Felicidad Azucena Sosa Riquelme,Medio,Vista,Cesante,2024-02-29,14467264.245901538,4
Mar Ayala Tamayo,Incompleto,Vista,Cesante,2020-09-16,11838669.133192744,2
Ángeles Ferrer Prada,Incompleto,Vista,Independiente,2023-03-24,5387117.243674294,3
Cipriano Verdugo Vilar,Incompleto,Ahorro,Independiente,2020-07-06,9610502.805703608,3
Iván Arranz Coronado,Incompleto,Vista,Independiente,2024-08-25,7775778.415936474,4
Noemí Lledó Ródenas,Medio,Ahorro,Dependiente,2022-12-09,14608898.654085359,4
Caridad Vaquero Infante,Incompleto,Corriente,Independiente,2023-03-05,1341505.0678173995,4
Quique Bellido Ramirez,Medio,Ahorro,Dependiente,2023-12-04,4682632.426360285,4
Andrés de Escalona,Incompleto,Ahorro,Dependiente,2023-08-08,4263201.483959622,1
Xavier Calderon Valle,Incompleto,Vista,Dependiente,2024-06-12,13339361.684675353,4
Luna Gimenez,Universitario,Ahorro,Dependiente,2020-12-31,11653373.432786599,1
Rosaura Sol Ferrándiz Corbacho,Medio,Vista,Cesante,2021-07-31,9231751.51875105,2
Sol Tomas Fuertes,Universitario,Vista,Independiente,2021-09-04,3656453.024685547,3
Guadalupe Franch Santana,Incompleto,Corriente,Independiente,2022-12-13,7081892.276316571,1
Cloe Tormo,Incompleto,Vista,Dependiente,2020-09-10,11644216.311667703,1
Paz Vilanova-Figueroa,Medio,Vista,Cesante,2022-09-26,5923800.060295279,1
Lázaro Baró,Incompleto,Corriente,Independiente,2023-12-24,2172967.4519663854,3
Eutropio Mateu,Incompleto,Ahorro,Cesante,2024-06-04,10911066.682469603,3
Amarilis Lamas,Incompleto,Corriente,Dependiente,2022-03-04,779622.3736648622,1
Joan Plaza Sanz,Incompleto,Corriente,Cesante,2021-09-24,2746844.837647216,3
Anselmo Figuerola Bermejo,Incompleto,Corriente,Dependiente,2022-05-17,12194255.424843932,2
Jordi Jiménez Tapia,Incompleto,Ahorro,Independiente,2020-09-20,13387487.698623864,1
Cintia Adela Villaverde Perez,Medio,Corriente,Cesante,2024-07-11,7235203.687206832,1
Jacobo Barreda-Benavides,Incompleto,Ahorro,Dependiente,2023-11-02,7041528.860342128,1
Edelmira Rivera Prat,Medio,Vista,Independiente,2020-03-02,5532596.87598131,2
Noé Nevado Pons,Incompleto,Corriente,Dependiente,2023-11-12,2760895.8079374162,4
Paloma Marcos Silva,Universitario,Corriente,Independiente,2021-03-17,1681206.3780860503,1
Elisa Paniagua Yuste,Incompleto,Corriente,Cesante,2022-08-14,10947903.35743954,2
Iris Lara Perales,Incompleto,Ahorro,Cesante,2022-06-18,2977992.6132577504,2
Carla Rosales Yáñez,Incompleto,Ahorro,Cesante,2021-12-06,8549527.054959647,2
Lucila Páez Beltran,Medio,Ahorro,Independiente,2020-12-30,4403214.54182933,1
Ester Ruth Navarro Soler,Medio,Corriente,Independiente,2021-04-15,4523671.415879303,3
Martirio Bautista Ayuso,Universitario,Vista,Independiente,2020-06-13,5309548.443315627,1
Lupita Ibarra Arellano,Medio,Corriente,Dependiente,2020-04-01,1677170.524404009,2
Anita de Giner,Medio,Ahorro,Independiente,2021-04-06,13155102.101945441,3
Remigio Quintero Amorós,Universitario,Ahorro,Cesante,2022-07-27,5191116.818451725,3
Rebeca Palomino Bernal,Incompleto,Corriente,Independiente,2023-02-28,9441687.016380688,4
Noelia Abril Losa,Universitario,Vista,Dependiente,2023-05-19,6953244.81556989,4
Graciana Ruiz Polo,Medio,Vista,Independiente,2022-08-15,14194696.909203324,3
Rosalina Visitación Rebollo Bravo,Medio,Corriente,Independiente,2024-10-24,10695048.668923913,2
Lupita Bermudez Mena,Incompleto,Corriente,Dependiente,2023-04-22,12436697.844257435,4
Juan Carlos Daza Aguirre,Medio,Corriente,Cesante,2020-12-07,12751170.217085887,1
Emiliana Vergara Puerta,Incompleto,Corriente,Dependiente,2023-09-04,2546088.95817806,4
Mónica Cortina Guardia,Incompleto,Ahorro,Dependiente,2020-01-29,4568728.243296996,2
Leandra Benet-Escolano,Incompleto,Corriente,Dependiente,2024-02-27,10028649.375955895,1
Herminia Lago Jurado,Universitario,Corriente,Dependiente,2020-03-30,2404112.020029291,4
